Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,43.500000,43.689999,42.480000,42.660000,42.660000,14447453
2022-01-04,42.849998,42.970001,40.360001,40.849998,40.849998,21422442
2022-01-05,40.799999,41.875401,39.450001,39.500000,39.500000,22008559
2022-01-06,39.500000,40.439999,38.689999,39.590000,39.590000,16613358
2022-01-07,39.650002,40.689999,39.320000,39.669998,39.669998,14669913
2022-01-10,39.330002,40.035000,38.220001,39.970001,39.970001,14997303
2022-01-11,39.790001,40.939899,39.599998,40.660000,40.660000,13815386
2022-01-12,40.880001,41.480000,39.770000,40.250000,40.250000,10439039
2022-01-13,40.150002,40.340000,38.610001,38.700001,38.700001,15075627
2022-01-14,38.430000,39.049999,37.509998,38.439999,38.439999,14849796
2022-01-18,37.720001,38.200001,37.130001,37.299999,37.299999,14915247
2022-01-19,37.130001,38.279999,37.005001,37.349998,37.349998,19797988
2022-01-20,37.840000,39.029999,37.195000,37.279999,37.279999,17688913
2022-01-21,36.900002,37.080002,34.794998,34.820000,34.820000,25674078
2022-01-24,33.700001,35.139999,32.049999,35.060001,35.060001,31932961
2022-01-25,34.220001,34.990002,33.619999,34.169998,34.169998,19205772
2022-01-26,34.970001,35.430000,33.264999,33.619999,33.619999,21377945
2022-01-27,34.139999,35.141701,33.810001,33.840000,33.840000,16637276
2022-01-28,33.790001,35.299999,33.599998,35.270000,35.270000,14368685
2022-01-31,35.430000,37.560001,35.340000,37.509998,37.509998,17558278
2022-02-01,37.840000,38.169998,36.869999,38.119999,38.119999,14628246
2022-02-02,38.290001,38.290001,36.250000,36.509998,36.509998,18992993
2022-02-03,33.840000,35.180000,33.840000,34.480000,34.480000,32803389
2022-02-04,35.660000,37.439999,34.759998,36.939999,36.939999,23579592
2022-02-07,36.720001,37.330002,35.895000,36.040001,36.040001,22770464
2022-02-08,35.520000,36.270000,35.150002,35.980000,35.980000,17194932
2022-02-09,36.500000,37.919998,36.139999,37.830002,37.830002,24473520
2022-02-10,36.560001,39.099998,36.220001,37.080002,37.080002,48150273
2022-02-11,37.419998,37.759998,35.660000,35.840000,35.840000,23516836
